Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
4/27/18,HMYTWB2Z9B,2/26/18,63,"Retro Suite, 2 sleeping areas- near Stanford",334.54
4/27/18,HMYTWB2Z9B,2/26/18,63,"Retro Suite, 2 sleeping areas- near Stanford",83.63
4/27/18,HMPTHX9W9N,4/26/18,9,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",3338.68
4/27/18,HMPTHX9W9N,4/26/18,,"Large home near Stanford, huge yard, 3 Bedr/2 Bath",
4/24/18,HME58CE8CH,4/23/18,6,"Spacious 3 Bedr Apt, ideal location",1383.2
4/24/18,HME58CE8CH,4/23/18,6,"Spacious 3 Bedr Apt, ideal location",345.8
4/24/18,HME58CE8CH,4/23/18,,"Spacious 3 Bedr Apt, ideal location",
4/20/18,HMWBQC8BM5,4/19/18,4,"Huge Woodside Home! Big Kitchen, BBQ, Pool",473.6
4/20/18,HMWBQC8BM5,4/19/18,4,"Huge Woodside Home! Big Kitchen, BBQ, Pool",1894.4
4/20/18,HMWBQC8BM5,4/19/18,,"Huge Woodside Home! Big Kitchen, BBQ, Pool",
4/19/18,HMBJDDC3NZ,4/18/18,4,"Spacious 3 Bedr Apt, ideal location",908.8
4/19/18,HMBJDDC3NZ,4/18/18,4,"Spacious 3 Bedr Apt, ideal location",227.2
4/19/18,HMBJDDC3NZ,4/18/18,,"Spacious 3 Bedr Apt, ideal location",
4/16/18,HM3W54C99P,4/15/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,1379.52
4/16/18,HM3W54C99P,4/15/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,459.83
4/16/18,HM3W54C99P,4/15/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
4/14/18,HM5NMYPPSD,4/13/18,5,"Spacious 3 Bedr Apt, ideal location",1040
4/14/18,HM5NMYPPSD,4/13/18,5,"Spacious 3 Bedr Apt, ideal location",260
4/14/18,HM5NMYPPSD,4/13/18,,"Spacious 3 Bedr Apt, ideal location",
4/13/18,HMEBA32Q32,4/12/18,3,NEW Gorgeous 4 bedr Home + Garden near Stanford,816.75
4/13/18,HMEBA32Q32,4/12/18,3,NEW Gorgeous 4 bedr Home + Garden near Stanford,272.25
4/13/18,HMEBA32Q32,4/12/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
4/13/18,HMCZCP5JEW,4/12/18,5,"Huge Woodside Home! Big Kitchen, BBQ, Pool",588.4
